area,date,start_time,end_time,affected_customers
Part Of Lunga Lunga Road And Likoni Road,2026-01-18,08:00,17:00,"House of Manji, Wheatabix, Part of Likoni Rd, Ashut Head Office, Lokitaung Road, Smithkline Beacham, Lunga Lunga Square, Mareba Enterprises, Whole of Rangwe Rd, Clesoi Rd, Sasio Rd Patco Industries, Nairobi Plastics, Cosmos, Sansora Group & adjacent custom ers."
Whole Of Garage Road,2026-01-20,09:00,17:00,Whole of Garage Rd & adjacent customers.
Whole Of Mpweke Lane,2026-01-22,09:00,17:00,"Total South B, Part of Kapiti Rd, Whole of Mpweke Lane & adjacent customers. PARTS OF KAJIADO COUNTY"
Ongata Rongai,2026-01-21,09:00,17:00,"Whole of Gataka Rd from Masai Mall, Kisumu Ndogo Beacon of Hope, Nakeel Schools. Oloolaiser Water Offices, Wanugu/Melonye Rd, Barizi, Kwa Mwai,Gataka Shopping Center Including Oloolua Forest, Mayor Rd, Hass Petrol Station & adjacent customers. CENTRAL RIFT REGION PARTS OF KERICHO COUNTY"
Parts Of Kuresoi North,2026-01-21,09:00,17:00,"Murundu Mkt, Kibaraa Mkt, Kipkoris Mkt, Kipkewa Mkt, Kongoi Mkt, Mawingu Mkt, Koraboriet Mkt & adjacent customers. PARTS OF NYANDADRUA COUNTY"
"Parts Of Mawingu, Machinnery, Miharati",2026-01-23,09:00,16:30,"Whole of Mumui, Mawingu, Matopeni, Gathiriga, Tigoni, Migaa, St. John Bondeni, Machinnery, Kahiga, Whole of Miharati, Ndiara, Munyuini, Mubau & adjacent customers . NORTH RIFT REGION PARTS OF UASIN GISHU COUNTY"
West Indies Estate,2026-01-18,09:00,15:00,"Gulab Lochab Academy, Paul’s Bakery, Part of West Indies Est, Bondeni & adjacent customers ."
"Kapchumba, Lower Kiplombe",2026-01-20,09:00,17:00,"Kapchumba, Baharini Police Post, Lower Kiplombe, Parts of Kapkeben & adjacent customers ."
Kipkenyo Simat,2026-01-22,09:00,16:00,"Kipkenyo Primary, Eldowas Sewage, Liberty Sch, Tuiyo, St . Theresa of Avilla, Lemook Soko & adjacent customers . PARTS OF NANDI COUNTY KAPKAGARON, KILIBWONI, TULON QUARRY"
Kipkenyo Simat,2026-01-22,09:00,17:00,"Kapkagaron, Centre Kwanza , Kilibwoni, Tulon Quarry & adjacent customers . WESTERN REGION PARTS OF KISUMU COUNTY"
Chiga,2026-01-20,08:30,17:00,"Kalusi Mkt , Chiga Mk t, Rweya Primary, Masawa Primary, Land Matobe Village, Masawa Village, Kasese Mkt, Obumba Sch, Achudho Sch, Kasarani Mkt & adjacent customers. PARTS OF KAKAMEGA COUNTY"
Namulungu,2026-01-18,09:00,17:00,"Kholera, Namulungu, Mukweya, Mirere, Namanga, Namalenge & adjacent customers."
Amalemba.,2026-01-20,09:00,17:00,"Amalemba, Shitaho, Muranda, Shavirotsi, Liranda, Shinyalu Mkt, ileho & adjacent customers. MT. KENYA REGION PARTS OF NYERI COUNTY"
